code,name,industry,market_cap,roe,growth,turnover,ret_past,ret_future,roe_mean,roe_std,growth_mean,growth_std,turnover_mean,turnover_std,ret_past_mean,ret_past_std,roe_score,growth_score,turnover_score,ret_past_score,alpha
000517.SZ,荣安地产,房地产,10315908851.40,13.57,1.22,28.59,1.57,-5.86,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,0.27,-0.24,0.39,-0.47,-0.01
000526.SZ,紫光学大,房地产,2152846494.66,16.76,-54.55,33.00,-17.81,-2.68,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,0.66,-0.36,0.29,1.38,0.49
000534.SZ,万泽股份,房地产,5434225310.80,4.00,-44.85,19.61,6.87,-16.83,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,-0.90,-0.34,0.59,-0.97,-0.40
000537.SZ,广宇发展,房地产,15309920318.40,24.60,12.83,75.99,-10.75,-14.36,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,1.62,-0.22,-0.70,0.71,0.35
000540.SZ,中天金融,房地产,31873908789.45,8.86,-32.43,35.72,-1.52,-14.07,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,-0.30,-0.31,0.22,-0.17,-0.14
000548.SZ,湖南投资,房地产,2411212367.13,2.43,-74.75,41.19,-8.17,-6.43,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,-1.09,-0.40,0.10,0.46,-0.23
000567.SZ,海德股份,房地产,5955959546.19,5.44,64.64,139.82,1.13,-14.33,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,-0.72,-0.11,-2.15,-0.42,-0.85
000573.SZ,粤宏远A,房地产,2388156622.72,3.09,25.61,43.42,1.10,-8.70,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,-1.01,-0.19,0.05,-0.42,-0.39
000608.SZ,阳光股份,房地产,4686958181.25,0.38,-55.45,15.27,-10.07,-12.48,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,-1.34,-0.36,0.69,0.64,-0.09
000615.SZ,京汉股份,房地产,4700098842.00,8.11,-69.37,91.02,-22.28,-7.00,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,-0.39,-0.39,-1.04,1.81,-0.00
000616.SZ,海航投资,房地产,4576750160.00,8.38,4265.60,49.36,-8.57,-4.06,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,-0.36,3.00,-0.09,0.50,0.76
000620.SZ,新华联,房地产,8193702614.40,16.70,46.47,12.46,-8.09,-5.56,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,0.66,-0.15,0.75,0.45,0.43
000631.SZ,顺发恒业,房地产,7735410954.24,16.48,45.82,9.69,-7.06,-5.03,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,0.63,-0.15,0.82,0.36,0.41
000656.SZ,金科股份,房地产,40635237359.76,18.10,75.92,17.00,4.25,-14.59,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,0.83,-0.09,0.65,-0.72,0.17
000667.SZ,美好置业,房地产,7243646299.56,3.49,-76.95,28.73,1.07,-3.53,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,-0.96,-0.40,0.38,-0.42,-0.35
000668.SZ,荣丰控股,房地产,2383243874.70,1.21,-20.72,36.01,26.80,0.31,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,-1.24,-0.29,0.22,-2.87,-1.05
000671.SZ,阳光城,房地产,27702501474.60,14.33,75.30,21.09,-18.08,-8.93,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,0.37,-0.09,0.56,1.41,0.56
000718.SZ,苏宁环球,房地产,11713696442.24,12.22,-8.46,17.82,-4.93,-3.31,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,0.11,-0.26,0.63,0.15,0.16
000732.SZ,泰禾集团,房地产,22611669582.40,14.78,67.61,34.84,-4.07,-14.69,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,0.42,-0.11,0.24,0.07,0.16
000736.SZ,中交地产,房地产,5001773078.94,36.98,52.43,54.56,21.30,-12.66,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,3.00,-0.14,-0.21,-2.35,0.08
000797.SZ,中国武夷,房地产,6786062361.82,5.53,63.39,15.80,-9.44,-7.53,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,-0.71,-0.12,0.68,0.58,0.11
000809.SZ,铁岭新城,房地产,2309415620.40,3.07,-4.40,32.52,-5.08,-3.21,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,-1.01,-0.26,0.30,0.17,-0.20
000838.SZ,财信发展,房地产,4335820949.80,6.20,-75.65,91.55,-1.25,-14.47,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,-0.63,-0.40,-1.05,-0.20,-0.57
000926.SZ,福星股份,房地产,7199219305.52,10.70,-0.88,42.76,-4.10,-8.02,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,-0.08,-0.25,0.06,0.07,-0.05
000961.SZ,中南建设,房地产,32646141413.60,13.95,271.60,25.68,-7.37,1.14,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,0.32,0.31,0.45,0.39,0.37
000965.SZ,天保基建,房地产,4439323580.00,1.86,-76.39,30.66,-16.49,-2.50,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,-1.16,-0.40,0.34,1.26,0.01
001914.SZ,招商积余,房地产,7029773324.64,18.99,2472.67,29.10,20.05,4.84,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,0.94,3.00,0.37,-2.23,0.52
001979.SZ,招商蛇口,房地产,174051802298.00,21.13,26.03,22.66,-4.51,-1.27,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,1.20,-0.19,0.52,0.11,0.41
002016.SZ,世荣兆业,房地产,7605498940.80,30.81,-12.01,40.59,-11.57,-2.87,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,2.38,-0.27,0.11,0.79,0.75
002133.SZ,广宇集团,房地产,3003679399.00,10.88,113.13,33.65,-5.60,-8.76,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,-0.05,-0.02,0.27,0.22,0.10
002146.SZ,荣盛发展,房地产,45003495857.85,24.76,36.15,25.58,-8.00,-9.08,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,1.64,-0.17,0.46,0.45,0.59
002208.SZ,合肥城建,房地产,4327752000.00,13.73,76.80,49.53,-5.26,-4.81,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,0.29,-0.09,-0.09,0.18,0.07
002244.SZ,滨江集团,房地产,14343756332.90,8.24,36.46,29.25,-2.54,-10.05,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,-0.38,-0.17,0.37,-0.07,-0.06
002285.SZ,世联行,房地产,10807316441.88,8.02,-57.03,22.29,-12.42,-11.54,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,-0.40,-0.36,0.53,0.87,0.16
002305.SZ,南国置业,房地产,5306700256.20,1.87,48.91,44.15,-14.76,-11.76,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,-1.16,-0.15,0.03,1.09,-0.05
002377.SZ,国创高新,房地产,5131421125.60,6.31,566.61,55.58,-17.16,-18.39,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,-0.61,0.91,-0.23,1.32,0.35
300492.SZ,山鼎设计,房地产,2456896000.00,8.50,29.46,163.78,13.32,-14.23,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,-0.35,-0.19,-2.70,-1.59,-1.20
300675.SZ,建科院,房地产,3135734046.00,8.04,-2.58,49.26,-22.20,-7.11,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,-0.40,-0.25,-0.09,1.80,0.27
300732.SZ,设研院,房地产,4536493126.30,16.65,31.07,50.36,-12.76,-12.19,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,0.65,-0.18,-0.11,0.90,0.31
600007.SH,中国国贸,房地产,14696252171.06,11.57,22.01,4.53,-0.27,-7.27,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,0.03,-0.20,0.94,-0.29,0.12
600048.SH,保利地产,房地产,160463942532.02,16.52,32.78,20.74,-5.27,-6.16,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,0.63,-0.18,0.57,0.19,0.30
600052.SH,浙江广厦,房地产,2937929240.04,4.95,-37.53,28.48,-9.65,-8.31,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,-0.78,-0.32,0.39,0.60,-0.03
600064.SH,南京高科,房地产,14089908523.20,9.85,3.35,54.52,-0.61,-3.60,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,-0.18,-0.24,-0.21,-0.26,-0.22
600067.SH,冠城大通,房地产,7027841514.75,10.06,19.04,19.68,-5.23,-1.91,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,-0.15,-0.21,0.59,0.18,0.10
600077.SH,宋都股份,房地产,4127576764.08,10.48,153.48,37.79,-16.98,-9.09,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,-0.10,0.07,0.18,1.30,0.36
600094.SH,大名城,房地产,15805338009.94,4.59,-48.67,40.96,-7.63,7.96,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,-0.82,-0.35,0.10,0.41,-0.16
600113.SH,浙江东日,房地产,3266763410.40,14.94,9.56,64.54,-4.68,-4.78,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,0.44,-0.23,-0.43,0.13,-0.02
600133.SH,东湖高新,房地产,4710309091.29,8.59,-56.53,52.82,-10.85,-3.70,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,-0.34,-0.36,-0.17,0.72,-0.04
600158.SH,中体产业,房地产,9112342028.40,5.05,96.80,89.87,-11.11,3.55,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,-0.77,-0.05,-1.01,0.74,-0.27
600159.SH,大龙地产,房地产,2539809889.92,4.05,331.83,26.70,-4.08,-8.17,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,-0.89,0.43,0.43,0.07,0.01
600162.SH,香江控股,房地产,8702278205.44,7.98,-53.60,20.93,-7.91,-9.38,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,-0.41,-0.36,0.56,0.44,0.06
600173.SH,卧龙地产,房地产,3344334023.88,27.21,89.57,30.34,-6.65,-8.80,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,1.94,-0.06,0.35,0.32,0.64
600177.SH,雅戈尔,房地产,34167007747.62,13.99,1151.54,13.89,4.72,-0.73,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,0.33,2.11,0.72,-0.77,0.60
600185.SH,格力地产,房地产,10362705027.78,6.40,-17.89,13.87,-6.68,-9.34,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,-0.60,-0.28,0.72,0.32,0.04
600208.SH,新湖中宝,房地产,30441676117.44,7.61,-19.61,20.19,-10.15,-14.69,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,-0.45,-0.29,0.58,0.65,0.12
600215.SH,长春经开,房地产,3785367643.20,3.94,984.97,22.19,-10.55,-1.01,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,-0.90,1.77,0.53,0.69,0.52
600223.SH,鲁商发展,房地产,3933804240.00,6.80,45.01,13.26,0.51,-2.99,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,-0.55,-0.15,0.74,-0.37,-0.08
600239.SH,云南城投,房地产,6679657541.44,8.99,7.70,70.93,-0.95,-30.53,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,-0.29,-0.23,-0.58,-0.23,-0.33
600246.SH,万通地产,房地产,8729539533.50,4.63,23.49,17.02,-7.41,-4.94,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,-0.82,-0.20,0.65,0.39,0.01
600266.SH,城建发展,房地产,16798668800.00,5.63,-14.00,25.88,4.59,-8.77,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,-0.70,-0.28,0.45,-0.75,-0.32
600322.SH,天房发展,房地产,5030935000.00,3.03,-55.70,45.49,24.66,-15.16,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,-1.01,-0.36,0.00,-2.67,-1.01
600325.SH,华发股份,房地产,17957647543.68,17.08,35.40,50.56,-8.62,-4.72,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,0.70,-0.17,-0.12,0.51,0.23
600340.SH,华夏幸福,房地产,94341431496.78,29.05,33.13,15.53,1.29,-5.70,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,2.17,-0.18,0.68,-0.44,0.56
600376.SH,首开股份,房地产,23319269787.68,10.44,11.71,12.82,-5.34,-0.11,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,-0.11,-0.22,0.75,0.19,0.15
600383.SH,金地集团,房地产,54761898728.36,18.57,27.72,18.35,-11.78,-4.45,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,0.89,-0.19,0.62,0.81,0.53
600393.SH,粤泰股份,房地产,9992816607.80,4.93,-82.55,224.10,39.22,9.64,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,-0.78,-0.42,-3.00,-3.00,-1.80
600463.SH,空港股份,房地产,2475000000.00,1.09,541.92,35.72,-12.88,35.03,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,-1.25,0.86,0.22,0.91,0.19
600466.SH,蓝光发展,房地产,20769391923.60,14.68,99.68,27.03,-5.69,-11.40,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,0.41,-0.04,0.42,0.23,0.25
600503.SH,华丽家族,房地产,6777686700.00,0.54,-101.33,97.55,-5.37,-8.75,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,-1.32,-0.45,-1.19,0.20,-0.69
600515.SH,海航基础,房地产,22781264041.80,6.02,-20.38,47.29,-1.19,-21.96,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,-0.65,-0.29,-0.04,-0.20,-0.30
600533.SH,栖霞建设,房地产,3948000000.00,5.85,285.39,54.50,-2.59,2.39,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,-0.67,0.34,-0.21,-0.07,-0.15
600565.SH,迪马股份,房地产,10824614700.96,12.91,64.28,51.08,11.84,-11.04,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,0.19,-0.12,-0.13,-1.45,-0.37
600603.SH,广汇物流,房地产,6363740140.16,9.03,55.65,53.41,-3.05,-8.66,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,-0.28,-0.13,-0.18,-0.03,-0.15
600604.SH,市北高新,房地产,21148213134.37,3.96,-11.62,164.75,-3.48,3.03,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,-0.90,-0.27,-2.72,0.02,-0.97
600606.SH,绿地控股,房地产,90896113255.95,17.15,18.06,10.84,-0.93,-10.17,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,0.71,-0.21,0.79,-0.23,0.27
600620.SH,天宸股份,房地产,6537166115.76,2.86,7.47,60.48,19.30,-17.75,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,-1.04,-0.23,-0.34,-2.16,-0.94
600621.SH,华鑫股份,房地产,14587365265.00,0.34,-103.13,182.21,-12.92,-10.98,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,-1.34,-0.46,-3.00,0.92,-0.97
600622.SH,光大嘉宝,房地产,9540306370.12,15.27,72.40,27.97,-4.39,-18.86,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,0.48,-0.10,0.40,0.10,0.22
600638.SH,新黄浦,房地产,6444407242.02,13.02,-4.20,35.55,-6.63,-12.54,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,0.21,-0.26,0.23,0.32,0.12
600639.SH,浦东金桥,房地产,15373562287.80,10.99,32.58,21.68,1.65,-7.19,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,-0.04,-0.18,0.54,-0.47,-0.04
600641.SH,万业企业,房地产,8940300515.32,16.13,-42.76,18.28,-13.90,-1.71,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,0.59,-0.33,0.62,1.01,0.47
600649.SH,城投控股,房地产,19680098432.52,5.43,-33.77,15.60,-2.63,-12.98,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,-0.72,-0.32,0.68,-0.07,-0.11
600657.SH,信达地产,房地产,13432348182.45,14.46,135.58,21.51,-15.74,-13.38,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,0.38,0.03,0.55,1.18,0.54
600658.SH,电子城,房地产,6733881970.90,6.33,-22.30,16.64,-8.51,-10.47,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,-0.61,-0.29,0.66,0.50,0.06
600663.SH,陆家嘴,房地产,53150780958.91,22.03,11.69,6.73,1.30,0.17,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,1.31,-0.22,0.89,-0.44,0.38
600665.SH,天地源,房地产,3672520714.25,13.07,60.11,17.81,-2.30,-5.18,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,0.21,-0.12,0.63,-0.10,0.16
600675.SH,中华企业,房地产,32309516835.60,29.88,211.45,8.83,-2.90,-7.55,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,2.27,0.19,0.84,-0.04,0.81
600683.SH,京投发展,房地产,3785373520.67,14.56,-3.91,17.47,-7.09,-6.25,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,0.40,-0.26,0.64,0.36,0.29
600684.SH,珠江实业,房地产,3874711682.42,8.18,-47.46,47.83,-11.33,-11.67,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,-0.38,-0.34,-0.05,0.76,-0.00
600708.SH,光明地产,房地产,14129556950.62,12.29,-31.02,49.97,22.63,-2.21,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,0.12,-0.31,-0.10,-2.48,-0.69
600716.SH,凤凰股份,房地产,4380763561.20,14.05,609.23,62.22,-13.49,-13.68,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,0.33,1.00,-0.38,0.97,0.48
600724.SH,宁波富达,房地产,5896583569.68,35.80,203.13,9.65,-3.09,-3.66,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,2.99,0.17,0.82,-0.02,0.99
600733.SH,北汽蓝谷,房地产,33923432162.27,1.89,253.00,294.43,13.97,-9.27,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,-1.15,0.27,-3.00,-1.65,-1.38
600736.SH,苏州高新,房地产,9302446688.56,7.67,9.15,110.04,7.73,6.44,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,-0.45,-0.23,-1.47,-1.05,-0.80
600743.SH,华远地产,房地产,6967919595.78,9.89,-36.21,17.61,-2.94,-10.44,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,-0.18,-0.32,0.64,-0.04,0.03
600748.SH,上实发展,房地产,18832987127.32,6.59,0.46,38.24,12.69,-0.10,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,-0.58,-0.25,0.17,-1.53,-0.55
600773.SH,西藏城投,房地产,5958933608.88,3.20,33.57,56.73,-4.72,-2.61,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,-0.99,-0.18,-0.26,0.13,-0.32
600791.SH,京能置业,房地产,2047017600.00,3.08,156.40,35.50,-9.60,-7.30,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,-1.01,0.07,0.23,0.60,-0.03
600823.SH,世茂股份,房地产,19018423083.27,10.58,27.17,13.29,-3.06,-10.06,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,-0.09,-0.19,0.74,-0.02,0.11
600848.SH,上海临港,房地产,36885395936.19,6.54,4.05,45.85,22.68,-1.61,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,-0.59,-0.24,-0.01,-2.48,-0.83
600895.SH,张江高科,房地产,31345476492.00,6.34,7.83,57.57,-10.88,-1.24,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,-0.61,-0.23,-0.28,0.72,-0.10
601155.SH,新城控股,房地产,89411412249.32,41.05,95.02,16.75,-12.25,-2.60,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,3.00,-0.05,0.66,0.85,1.11
601588.SH,北辰实业,房地产,12739046214.45,8.55,52.08,36.82,17.58,-11.27,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,-0.34,-0.14,0.20,-1.99,-0.57
603357.SH,设计总院,房地产,6370091244.72,22.08,51.16,65.62,-6.44,-6.22,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,1.32,-0.14,-0.46,0.30,0.25
603506.SH,南都物业,房地产,2365793669.72,19.91,27.20,111.93,-8.50,16.27,11.33,8.18,120.50,487.60,45.51,43.80,-3.32,10.48,1.05,-0.19,-1.52,0.49,-0.04
000005.SZ,世纪星源,电力及公用事业,3493171578.60,10.58,583.42,46.03,-12.47,-8.18,8.74,7.22,68.52,305.35,43.00,37.71,-3.29,9.58,0.26,1.69,-0.08,0.96,0.70
000027.SZ,深圳能源,电力及公用事业,23905884329.91,3.04,-15.23,8.09,-7.09,-1.33,8.74,7.22,68.52,305.35,43.00,37.71,-3.29,9.58,-0.79,-0.27,0.93,0.40,0.06
000035.SZ,中国天楹,电力及公用事业,12510717552.45,6.92,-1.15,20.32,-1.54,-15.01,8.74,7.22,68.52,305.35,43.00,37.71,-3.29,9.58,-0.25,-0.23,0.60,-0.18,-0.02
000037.SZ,深南电A,电力及公用事业,4539795535.37,0.98,3202.46,59.71,-24.13,-3.65,8.74,7.22,68.52,305.35,43.00,37.71,-3.29,9.58,-1.07,3.00,-0.44,2.17,0.91
000040.SZ,东旭蓝天,电力及公用事业,11716566095.60,8.60,108.62,76.14,-13.02,-14.85,8.74,7.22,68.52,305.35,43.00,37.71,-3.29,9.58,-0.02,0.13,-0.88,1.02,0.06
000407.SZ,胜利股份,电力及公用事业,3810766560.48,4.61,48.24,67.33,-8.26,-8.08,8.74,7.22,68.52,305.35,43.00,37.71,-3.29,9.58,-0.57,-0.07,-0.65,0.52,-0.19
000421.SZ,南京公用,电力及公用事业,2931952302.08,5.69,-3.31,25.88,-4.66,-7.81,8.74,7.22,68.52,305.35,43.00,37.71,-3.29,9.58,-0.42,-0.24,0.45,0.14,-0.02
000531.SZ,穗恒运A,电力及公用事业,5261436057.60,2.09,-49.38,81.10,7.56,-8.72,8.74,7.22,68.52,305.35,43.00,37.71,-3.29,9.58,-0.92,-0.39,-1.01,-1.13,-0.86
000539.SZ,粤电力A,电力及公用事业,22098433733.66,1.98,-20.01,11.64,-7.71,-6.81,8.74,7.22,68.52,305.35,43.00,37.71,-3.29,9.58,-0.94,-0.29,0.83,0.46,0.02
000543.SZ,皖能电力,电力及公用事业,9166827407.36,5.58,706.71,20.35,-4.66,-8.98,8.74,7.22,68.52,305.35,43.00,37.71,-3.29,9.58,-0.44,2.09,0.60,0.14,0.60
000544.SZ,中原环保,电力及公用事业,6121018584.64,7.36,28.46,43.00,1.13,-0.80,8.74,7.22,68.52,305.35,43.00,37.71,-3.29,9.58,-0.19,-0.13,-0.00,-0.46,-0.20
000591.SZ,太阳能,电力及公用事业,11066120757.76,6.94,5.52,27.52,-11.11,-7.07,8.74,7.22,68.52,305.35,43.00,37.71,-3.29,9.58,-0.25,-0.21,0.41,0.82,0.19
000598.SZ,兴蓉环境,电力及公用事业,14065089615.42,9.82,10.11,20.69,1.29,-3.62,8.74,7.22,68.52,305.35,43.00,37.71,-3.29,9.58,0.15,-0.19,0.59,-0.48,0.02
000600.SZ,建投能源,电力及公用事业,13920936941.52,3.99,111.75,22.14,-3.12,-14.54,8.74,7.22,68.52,305.35,43.00,37.71,-3.29,9.58,-0.66,0.14,0.55,-0.02,0.00
000601.SZ,韶能股份,电力及公用事业,5186648011.20,6.75,-30.89,19.10,3.23,-9.79,8.74,7.22,68.52,305.35,43.00,37.71,-3.29,9.58,-0.27,-0.33,0.63,-0.68,-0.16
